,site_id,meter,building_id,min_edge,max_edge,do_const
1,0,0,7,200.0,,
3,0,0,11,300.0,,
5,0,0,15,100.0,,
7,0,0,18,1000.0,,
9,0,0,20,200.0,,
11,0,0,23,400.0,1200.0,
13,0,0,25,100.0,,
15,0,0,27,100.0,,
17,0,0,30,200.0,,
19,0,0,32,100.0,,
21,0,0,35,60.0,,
23,0,0,39,100.0,,
25,0,0,43,20.0,,
27,0,0,47,,900.0,
29,0,0,52,,750.0,
31,0,0,54,200.0,,
33,0,0,61,70.0,,
35,0,0,63,60.0,,
37,0,0,68,50.0,,
39,0,0,74,25.0,,
41,0,0,76,1000.0,,
43,0,0,80,500.0,,
45,0,0,82,5.0,,
47,0,0,85,40.0,,
49,0,0,89,500.0,,
51,0,0,91,100.0,,
53,0,0,99,2.0,,
55,0,0,101,,400.0,
57,0,0,103,2.0,,
59,0,1,28,,3500.0,
61,0,1,91,,7000.0,
63,0,1,98,,10000.0,
65,7,0,797,1600.0,,
67,7,0,799,100.0,,1.0
69,7,0,802,100.0,,
71,7,1,789,10.0,,
73,7,1,791,250.0,,
75,7,2,800,200.0,1400.0,1.0
77,7,2,803,500.0,,
79,1,0,106,1.0,,
81,1,0,109,100.0,,1.0
83,1,0,111,200.0,,1.0
85,1,3,113,,150.0,
87,1,3,114,,1000.0,
89,1,0,116,100.0,,
91,1,3,117,,125.0,
93,1,0,119,350.0,,1.0
95,1,0,120,100.0,,1.0
97,1,3,121,1200.0,,
99,1,0,123,50.0,,
101,1,0,125,100.0,,
103,1,0,127,10.0,,1.0
105,1,0,129,40.0,,
107,1,0,133,20.0,,
109,1,0,137,20.0,,1.0
111,1,0,139,20.0,,1.0
113,1,0,140,10.0,,1.0
115,1,0,142,20.0,,1.0
117,1,0,144,32.0,,
119,1,0,145,10.0,,1.0
121,1,0,147,70.0,,1.0
123,1,0,149,60.0,,1.0
125,1,0,151,,120.0,
127,1,0,153,1.0,,
129,1,0,155,30.0,,1.0
131,2,0,157,13.0,,
133,2,1,161,,150.0,
135,2,0,164,1.0,,
137,2,0,167,40.0,,
139,2,1,168,,3500.0,
141,2,3,169,10.0,,
143,2,0,172,50.0,,
145,2,0,174,50.0,,
147,2,0,176,10.0,,
149,2,0,177,2.0,,
151,2,0,179,15.0,,
153,2,0,182,,40.0,
155,2,0,184,,70.0,
157,2,1,187,,400.0,
159,2,0,189,2.0,,
161,2,0,190,40.0,,
163,2,0,192,300.0,,
165,2,0,198,5.0,,
167,2,0,199,60.0,,
169,2,1,200,,1200.0,
171,2,0,202,100.0,,
173,2,0,205,40.0,,
175,2,0,206,50.0,,
177,2,0,207,30.0,,
179,2,0,209,600.0,1100.0,
181,2,0,210,100.0,,
183,2,0,213,100.0,,
185,2,0,215,12.0,,
187,2,0,216,30.0,,
189,2,0,219,100.0,,
191,2,0,221,150.0,,
193,2,1,222,,330.0,
195,2,0,224,100.0,,
197,2,0,226,15.0,,
199,2,0,229,80.0,,
201,2,0,232,30.0,,
203,2,1,233,,2000.0,
205,2,0,235,5.0,,
207,2,0,239,50.0,,
209,2,0,243,20.0,,
211,2,3,244,,200.0,
213,2,0,247,50.0,,1.0
215,2,0,249,200.0,,
217,2,0,253,50.0,,
219,2,1,254,,1500.0,
221,2,0,256,,65.0,
223,2,0,259,50.0,,
225,2,0,264,40.0,,
227,2,1,268,,1200.0,
229,2,0,271,5.0,,
231,2,1,273,,3000.0,
233,2,0,276,50.0,,
235,2,3,279,,2.0,
237,2,1,281,,4000.0,
239,2,0,285,,1800.0,
241,2,0,286,10.0,,
243,3,0,291,70.0,,
245,3,0,298,11.0,,
247,3,0,301,5.0,,
249,3,0,308,5.0,,
251,3,0,311,5.0,,
253,3,0,320,40.0,,
255,3,0,335,5.0,,
257,3,0,341,80.0,,
259,3,0,343,5.0,,
261,3,0,350,5.0,,
263,3,0,361,8.0,,
265,3,0,372,5.0,,
267,3,0,374,120.0,,
269,3,0,376,250.0,1600.0,
271,3,0,391,42.0,,
273,3,0,393,18.0,,
275,3,0,395,5.0,,
277,3,0,399,50.0,,
279,3,0,407,50.0,,
281,3,0,409,40.0,,
283,3,0,413,2.0,,
285,3,0,417,20.0,,
287,3,0,425,50.0,320.0,
289,3,0,427,2.0,,
291,3,0,430,5.0,,
293,3,0,432,10.0,,
295,3,0,440,10.0,,
297,3,0,442,5.0,,
299,3,0,448,100.0,,
301,3,0,451,2.0,,
303,3,0,456,5.0,,
305,3,0,462,5.0,,
307,3,0,470,20.0,,
309,3,0,473,50.0,,
311,3,0,475,100.0,,
313,3,0,479,60.0,,
315,3,0,481,20.0,,
317,3,0,483,90.0,,
319,3,0,486,50.0,,
321,3,0,489,100.0,,
323,3,0,492,50.0,,
325,3,0,494,25.0,,
327,3,0,503,7.0,,
329,3,0,508,1.0,,
331,3,0,510,1.0,,
333,3,0,513,20.0,,
335,3,0,528,10.0,,
337,3,0,531,1.0,,
339,3,0,537,30.0,,
341,3,0,545,20.0,,
343,3,0,551,100.0,,
345,3,0,554,5.0,,
347,3,0,557,5.0,,
349,3,0,559,,200.0,
351,3,0,562,150.0,,
353,4,0,570,70.0,,
355,4,0,576,100.0,275.0,
357,4,0,592,280.0,,
359,4,0,604,0.0,,
361,4,0,611,375.0,,
363,4,0,619,130.0,,
365,4,0,626,50.0,,
367,4,0,632,30.0,,
369,4,0,645,1200.0,,
371,4,0,649,345.0,,
373,4,0,653,520.0,,
375,4,0,655,,300.0,
377,5,0,657,1.0,,
379,5,0,659,1.0,,
381,5,0,661,1.0,,
383,5,0,663,1.0,,
385,5,0,666,1.0,,
387,5,0,668,1.0,,
389,5,0,670,1.0,,
391,5,0,672,5.0,,
393,5,0,675,1.0,,
395,5,0,678,1.0,,1.0
397,5,0,680,1.0,,
399,5,0,683,1.0,,
401,5,0,685,200.0,,
403,5,0,689,5.0,,
405,5,0,691,,20.0,
407,5,0,693,1.0,,1.0
409,5,0,695,10.0,,
411,5,0,698,1.0,,
413,5,0,701,1.0,,
415,5,0,703,1.0,,
417,5,0,705,1.0,,
419,5,0,708,1.0,,
421,5,0,710,0.0,,
423,5,0,712,0.0,,
425,5,0,715,1.0,,
427,5,0,718,1.0,,
429,5,0,720,1.0,,
431,5,0,722,1.0,,
433,5,0,724,1.0,,
435,5,0,727,1.0,,
437,5,0,729,1.0,,
439,5,0,731,1.0,,
441,5,0,733,1.0,,
443,5,0,735,1.0,,
445,5,0,741,0.0,,
447,6,1,745,,500.0,
449,6,0,746,30.0,,
451,6,0,749,10.0,,
453,6,1,750,,1500.0,
455,6,1,753,,1500.0,
457,6,1,755,,500.0,
459,6,0,758,20.0,,
461,6,0,762,90.0,,
463,6,2,764,500.0,,
465,6,2,765,10.0,,
467,6,0,767,150.0,,
469,6,2,767,,3500.0,
471,6,1,769,,1500.0,
473,6,0,770,20.0,,
475,6,2,770,,1750.0,
477,6,2,771,,1000.0,
479,6,0,773,20.0,,
481,6,2,776,,3000.0,
483,6,0,778,110.0,,
485,6,1,780,,2000.0,
487,6,0,782,200.0,,
489,6,0,785,600.0,,
491,6,1,787,,1500.0,
493,8,0,804,,800.0,
495,8,0,807,,60.0,
497,8,0,809,,6.0,
499,8,0,824,,40.0,
501,8,0,828,,35.0,
503,8,0,831,,35.0,
505,8,0,833,,35.0,
507,8,0,842,,35.0,
509,8,0,844,,36.0,
511,8,0,850,,175.0,
513,8,0,852,,33.0,
515,8,0,857,,10.0,
517,8,0,862,,70.0,
519,8,0,869,,2700.0,
521,9,1,874,,1200.0,
523,9,1,875,,1000.0,
525,9,0,876,,60.0,
527,9,0,878,,60.0,
529,9,2,878,,150.0,
531,9,1,879,,5000.0,
533,9,0,880,,300.0,
535,9,2,880,,1000.0,
537,9,0,882,,100.0,
539,9,1,883,,3000.0,
541,9,0,885,,100.0,
543,9,2,885,,300.0,
545,9,1,886,,1200.0,
547,9,0,887,,100.0,
549,9,2,887,,500.0,
551,9,1,888,,1500.0,
553,9,0,889,,200.0,
555,9,2,889,,500.0,
557,9,1,890,,3000.0,
559,9,0,891,,80.0,
561,9,0,892,,200.0,
563,9,1,893,,200.0,
565,9,1,894,,700.0,
567,9,0,895,,80.0,
569,9,2,895,,500.0,
571,9,1,896,,1500.0,
573,9,0,897,,80.0,
575,9,1,898,,200.0,
577,9,0,899,,350.0,
579,9,2,899,,1200.0,
581,9,1,900,,1500.0,
583,9,0,901,,350.0,
585,9,2,901,,1000.0,
587,9,0,903,,1000.0,
589,9,2,903,,2300.0,
591,9,0,905,,60.0,
593,9,2,905,,200.0,
595,9,1,906,,500.0,
597,9,0,907,,170.0,
599,9,2,907,,300.0,
601,9,1,908,,1500.0,
603,9,0,909,,750.0,
605,9,1,910,,800.0,
607,9,0,911,,600.0,
609,9,2,911,,1000.0,
611,9,1,912,,300.0,
613,9,0,913,,2000.0,
615,9,2,913,,1200.0,
617,9,1,914,,3000.0,
619,9,0,915,,400.0,
621,9,2,915,,600.0,
623,9,1,916,,350.0,
625,9,0,917,,600.0,
627,9,2,917,,1250.0,
629,9,1,918,,400.0,
631,9,0,919,,70.0,
633,9,1,920,,900.0,
635,9,0,921,,1000.0,
637,9,2,921,,1000.0,
639,9,1,922,,1500.0,
641,9,0,923,,100.0,
643,9,0,924,,450.0,
645,9,2,924,,1200.0,
647,9,1,925,,350.0,
649,9,0,926,,50.0,
651,9,2,926,,200.0,
653,9,1,927,,5000.0,
655,9,0,928,,900.0,
657,9,2,928,,700.0,
659,9,1,929,,2000.0,
661,9,0,930,,35.0,
663,9,1,931,,2000.0,
665,9,0,932,,600.0,
667,9,2,932,,1800.0,
669,9,1,934,,1800.0,
671,9,0,935,,35.0,
673,9,0,936,8.0,,
675,9,0,940,,40.0,
677,9,0,942,,115.0,
679,9,2,942,,250.0,
681,9,0,945,,550.0,
683,9,2,945,,1300.0,
685,9,1,946,,2500.0,
687,9,0,947,,120.0,
689,9,1,948,,280.0,
691,9,0,949,,200.0,
693,9,2,949,,400.0,
695,9,1,951,,750.0,
697,9,0,952,,350.0,
699,9,2,952,,1000.0,
701,9,1,953,,3200.0,
703,9,0,954,,2000.0,
705,9,2,954,,5000.0,
707,9,1,955,,4000.0,
709,9,0,956,,160.0,
711,9,2,956,,300.0,
713,9,1,957,,1000.0,
715,9,0,958,,600.0,
717,9,2,958,,1300.0,
719,9,1,959,,1100.0,
721,9,0,960,,80.0,
723,9,2,960,,300.0,
725,9,1,961,,2500.0,
727,9,0,962,,700.0,
729,9,2,962,,1000.0,
731,9,1,963,,1000.0,
733,9,0,964,,400.0,
735,9,2,964,,700.0,
737,9,1,965,,300.0,
739,9,0,966,,1000.0,
741,9,2,966,,1750.0,
743,9,1,967,,1500.0,
745,9,0,968,,400.0,
747,9,2,968,,500.0,
749,9,1,969,,1400.0,
751,9,0,970,,90.0,
753,9,1,971,,1700.0,
755,9,0,972,,500.0,
757,9,2,972,,1500.0,
759,9,1,973,,1500.0,
761,9,0,974,,155.0,
763,9,2,974,,600.0,
765,9,1,975,,2500.0,
767,9,1,976,,550.0,
769,9,0,977,,200.0,
771,9,1,978,,1600.0,
773,9,0,979,,125.0,
775,9,2,979,,230.0,
777,9,1,980,,150.0,
779,9,0,981,,250.0,
781,9,2,981,,400.0,
783,9,0,983,,1000.0,
785,9,2,983,,2300.0,
787,9,0,985,,45.0,
789,9,0,987,,650.0,
791,9,2,987,,750.0,
793,9,0,989,,250.0,
795,9,2,989,,450.0,
797,9,1,990,,850.0,
799,9,1,991,,400.0,
801,9,0,992,,70.0,
803,9,2,992,,250.0,
805,9,1,993,,10000.0,
807,9,0,994,,350.0,
809,9,2,994,,750.0,
811,9,1,995,,300.0,
813,9,0,996,,200.0,
815,9,2,996,,500.0,
817,9,1,997,,300.0,
819,10,0,998,,300.0,
821,10,0,1000,5.0,150.0,
823,10,1,1003,,1000.0,
825,10,0,1005,1.0,60.0,
827,10,0,1008,,200.0,
829,10,0,1009,5.0,,
831,10,0,1012,,60.0,
833,10,0,1013,10.0,200.0,
835,10,1,1015,,7000.0,
837,10,1,1017,,2000.0,
839,10,0,1018,50.0,300.0,
841,10,3,1018,,6000.0,
843,10,0,1020,10.0,200.0,
845,10,3,1021,,120000.0,
847,10,1,1022,,0.0,
849,10,0,1023,,275.0,
851,11,3,1029,,350.0,
853,11,0,1032,,800.0,
855,12,0,1035,5.0,,
857,12,0,1038,60.0,,
859,12,0,1040,100.0,,
861,12,0,1042,40.0,,
863,12,0,1044,60.0,,
865,12,0,1046,80.0,,
867,12,0,1048,50.0,,
869,12,0,1049,12.0,,
871,12,0,1053,1.0,,
873,12,0,1065,30.0,,
875,12,0,1058,45.0,,
877,12,0,1060,5.0,,
879,12,0,1063,10.0,,
881,12,0,1065,1.0,,
883,12,0,1067,200.0,,
885,13,0,1069,1.0,17.0,
887,13,0,1071,5.0,,
889,13,0,1074,20.0,,
891,13,2,1075,,3000.0,
893,13,2,1077,5.0,,
895,13,2,1079,,700.0,
897,13,2,1080,,7000.0,
899,13,0,1083,100.0,,
901,13,0,1086,100.0,575.0,
903,13,0,1087,10.0,,
905,13,1,1088,,5000.0,
907,13,0,1090,150.0,,
909,13,0,1091,75.0,,
911,13,0,1092,400.0,,
913,13,0,1093,9.0,,
915,13,0,1096,1.0,,
917,13,0,1098,15.0,250.0,
919,13,0,1100,100.0,,
921,13,0,1102,30.0,,
923,13,0,1107,350.0,,
925,13,0,1111,,225.0,
927,13,0,1114,2.0,6.0,
929,13,0,1117,20.0,,
931,13,0,1119,30.0,,
933,13,0,1121,100.0,325.0,
935,13,0,1122,40.0,,
937,13,0,1125,1.0,205.0,
939,13,0,1127,60.0,200.0,
941,13,0,1129,50.0,225.0,
943,13,2,1129,,4000.0,1.0
945,13,0,1131,15.0,,
947,13,0,1134,1.0,,
949,13,0,1137,5.0,,
951,13,1,1139,,6000.0,
953,13,0,1140,400.0,,
955,13,0,1142,25.0,,
957,13,0,1144,250.0,,
959,13,0,1148,700.0,1500.0,
961,13,0,1150,40.0,,
963,13,2,1152,1000.0,14000.0,
965,13,0,1154,100.0,550.0,1.0
967,13,2,1154,,35000.0,
969,13,0,1157,100.0,200.0,
971,13,0,1158,100.0,650.0,
973,13,0,1160,15.0,,
975,13,1,1161,,500.0,
977,13,0,1163,30.0,,
979,13,0,1165,1.0,,
981,13,0,1167,,250.0,
983,13,0,1168,,5000.0,
985,13,1,1169,1500.0,,
987,13,0,1171,25.0,,
989,13,0,1172,100.0,,1.0
991,13,0,1175,25.0,,
993,13,1,1176,,950.0,
995,13,0,1177,15.0,55.0,
997,13,0,1179,350.0,,
999,13,0,1184,25.0,,
1001,13,0,1186,75.0,,
1003,13,2,1189,1.0,,
1005,13,0,1191,300.0,750.0,
1007,13,0,1194,30.0,,
1009,13,0,1198,15.0,,
1011,13,0,1200,400.0,,
1013,13,0,1202,150.0,250.0,
1015,13,0,1203,50.0,200.0,
1017,13,0,1206,40.0,,
1019,13,0,1208,150.0,300.0,
1021,13,0,1210,100.0,225.0,
1023,13,0,1212,600.0,1300.0,
1025,13,0,1214,150.0,,
1027,13,1,1216,,50.0,
1029,13,0,1218,80.0,,
1031,13,1,1220,,4000.0,
1033,13,0,1222,200.0,650.0,
1035,14,3,1224,,1000.0,
1037,14,2,1225,,3000.0,
1039,14,3,1227,,1000.0,
1041,14,3,1230,,1200.0,
1043,14,3,1232,,4000.0,
1045,14,3,1236,,600.0,
1047,14,3,1237,,1000.0,
1049,14,1,1242,,400.0,
1051,14,1,1243,,2500.0,
1053,14,3,1244,,1500.0,
1055,14,0,1249,100.0,,
1057,14,2,1249,,3000.0,
1059,14,0,1252,200.0,,
1061,14,3,1255,,6000.0,
1063,14,3,1258,,12000.0,
1065,14,3,1262,,2000.0,
1067,14,1,1267,,3400.0,
1069,14,1,1269,,1500.0,
1071,14,3,1270,,1500.0,
1073,14,3,1274,,1000.0,
1075,14,1,1276,,350.0,
1077,14,1,1280,,80.0,
1079,14,0,1284,1200.0,,
1081,14,2,1285,,3500.0,
1083,14,2,1288,,10000.0,
1085,14,0,1290,500.0,,
1087,14,2,1291,,6500.0,
1089,14,3,1294,,250.0,
1091,14,0,1296,12.0,,
1093,14,3,1296,,150.0,
1095,14,1,1297,,1000.0,
1097,14,0,1298,300.0,,
1099,14,0,1299,35.0,,
1101,14,3,1300,,400.0,
1103,14,2,1303,,8000.0,
1105,14,3,1311,,1200.0,
1107,14,3,1317,,4000.0,
1109,14,0,1319,,800.0,
1111,14,3,1321,,7000.0,
1113,14,3,1323,,4500.0,
1115,15,0,1328,400.0,,
1117,15,1,1331,20.0,,
1119,15,0,1335,100.0,,
1121,15,2,1337,,4000.0,
1123,15,2,1355,200.0,,
1125,15,0,1365,200.0,,
1127,15,1,1377,125.0,,
1129,15,0,1379,70.0,,
1131,15,1,1382,,600.0,
1133,15,0,1387,120.0,,
1135,15,0,1399,20.0,,
1137,15,0,1413,30.0,,
1139,15,0,1423,5.0,,
1141,15,0,1427,100.0,,
1143,15,0,1430,300.0,,
1145,15,0,1434,60.0,,
1147,15,0,1441,200.0,,
1149,14,0,1313,,,1.0
1151,1,0,107,,,1.0
1153,1,0,138,,,1.0
1155,2,0,231,,,1.0
1157,2,1,238,,,1.0
1159,2,1,247,,,1.0
1161,2,0,263,,,1.0
1163,6,2,759,,,1.0
1165,7,1,793,,,1.0
1167,7,1,801,,,1.0
1169,13,1,1092,,,1.0
1171,13,0,1103,,,1.0
1173,13,0,1147,,,1.0
1175,13,1,1167,,,1.0
1177,13,2,1185,,,1.0
